字段名,含义,单位,作用,可确认数值,阶段
"SCALED_IMU.xacc/yacc/zacc","加速度（三轴）","mG","输出到 /imu_global_001 的 linear_acceleration",,1
"SCALED_IMU.xgyro/ygyro/zgyro","角速度（三轴）","mrad/s","输出到 /imu_global_001 的 angular_velocity",,1
"SCALED_IMU.xmag/ymag/zmag","磁场（三轴）","mgauss","当前未输出到 ROS",,1
"SCALED_IMU.time_boot_ms","IMU 设备时间","ms（飞控启动后毫秒）","设备采样时间；当前未写入 ROS header",,1
"GLOBAL_VISION_POSITION_ESTIMATE.x/y/z","平台位置","MAVLink 定义为 m；固件源码注释为 cm","输出到 /odom_global_001，作为 map→base_link","桥接代码：位置×0.01、z 取反",1
"GLOBAL_VISION_POSITION_ESTIMATE.roll/pitch/yaw","平台姿态（欧拉角）","rad","输出到 /odom_global_001 的姿态",,1
"GLOBAL_VISION_POSITION_ESTIMATE.usec","位姿时间戳","名义 us；实际由 HAL_GetTick() 提供，ms 语义存疑","位姿采样时间（语义未确认）","= HAL_GetTick()",1
"GLOBAL_POSITION_INT.lat/lon","经纬度","degE7","GNSS 输入到 /gnss_global_001",,1
"GLOBAL_POSITION_INT.alt","高度","mm","GNSS 高度",,1
"GLOBAL_POSITION_INT.vx/vy/vz","速度（三轴）","cm/s","用于 /odom_global_001 的 twist",,1
"GLOBAL_POSITION_INT.hdg","航向","cdeg","航向角",,1
"GLOBAL_POSITION_INT.time_boot_ms","时间","ms","时间戳","= time - takeoff_time（未起飞为 0）",1
"get_uwb_x/y/z()","无人机 UWB 位置（固件内部）","cm（源码用法）","固件内部 UWB 坐标",,1
"get_pos_x/y/z()","无人机位置（固件内部）","cm（源码注释）","写入 GLOBAL_VISION_POSITION_ESTIMATE（可能为 EKF/融合位置）",,1
"ahrs_roll_rad()/ahrs_pitch_rad()/ahrs_yaw_rad()","姿态欧拉角（固件内部）","rad","发送到 GLOBAL_VISION_POSITION_ESTIMATE 的姿态",,1
"UWB_TAG_ID","UWB 标签 ID","整数","标签编号，与 ROS 节点对应（如 ID 1 → fcu_bridge_001）","固件默认 1",2
"UWB_TAG_MAX","UWB 标签总数","整数","参与 UWB 定位的无人机数量","固件默认 1",2
"定位状态","UWB 定位状态",,"有效状态判断",,1
"全局坐标 x/y","UWB 全局平面坐标","手册 cm（内部统一 m）","平面定位（可能为融合结果）",,1
"uwb-x/uwb-y","纯 UWB 平面坐标","手册 cm（内部统一 m）","优先作为平面 UWB 输入",,1
"到基站 1~4 的距离","标签到各基站距离","内部 m（原始单位待抓包确认）","四基站多边测量直接输入",,1
"坐标偏航角","机头与坐标系 X 轴正方向平行时的偏航角","整数（度）","坐标对齐/配置参数，非逐帧 yaw 时间序列",,2
