algorithm,sigma,rmse_m,mae_m,cep50_m,cep95_m,max_error_m,success_rate,update_rate_hz,mean_runtime_ms
uwb.matlab.trilateration,0.0,1.3807889774712256e-15,1.1944796200127645e-15,1.0516183429620329e-15,2.5121479338940403e-15,2.8435583831733384e-15,1.0,10.0,0.09367320000000001
uwb.matlab.multilateration,0.0,7.532353909482245e-16,6.509179275244058e-16,5.551115123125783e-16,1.4043333874306805e-15,1.831026719408895e-15,1.0,10.0,0.038723200000000006
uwb.matlab.taylor,0.0,0.18350951033237947,0.13479409019595923,0.07941172059381105,0.43595824456732934,0.449922838782613,1.0,10.0,0.30087879
uwb.matlab.ekf,0.0,0.6962660501962714,0.6084035345953461,0.5371124466695876,1.225457854597986,1.3565174628205425,1.0,10.0,0.04317852999999999
uwb.matlab.ukf,0.0,0.5571949971560378,0.5298577839697254,0.5416495492384379,0.7805310892840298,0.7918400479309506,1.0,10.0,0.23230597000000003
uwb.matlab.trilateration,0.02,0.026325678070558734,0.022930191967056958,0.022239738788110825,0.04508407195771569,0.06740837455362647,1.0,10.0,0.03605517999999999
uwb.matlab.multilateration,0.02,0.026325678070558838,0.022930191967056993,0.0222397387881116,0.04508407195771505,0.06740837455362776,1.0,10.0,0.028435490000000004
uwb.matlab.taylor,0.02,0.17147325159643076,0.12804407160734643,0.0819731861371592,0.407687672537302,0.49023983674636745,1.0,10.0,0.30284952
uwb.matlab.ekf,0.02,0.6926551112457249,0.6047638547426082,0.539702744172649,1.2134995118381047,1.3408830567551244,1.0,10.0,0.04756052
uwb.matlab.ukf,0.02,0.5571312316104248,0.5308497576270608,0.5425185176916253,0.7758406925318354,0.785887991934145,1.0,10.0,0.23559959999999996
uwb.matlab.trilateration,0.05,0.06584082751397294,0.05732539889570006,0.05559830106208248,0.11291929319719753,0.16789690092253312,1.0,10.0,0.0442255
uwb.matlab.multilateration,0.05,0.06584082751397298,0.05732539889570003,0.0555983010620833,0.11291929319719642,0.1678969009225353,1.0,10.0,0.032703279999999994
uwb.matlab.taylor,0.05,0.1946408608805499,0.14596404012761888,0.10110064871977739,0.4434331888857834,0.540748097530352,1.0,10.0,0.33883224000000006
uwb.matlab.ekf,0.05,0.6877117553324376,0.6000229238352255,0.5434905712193642,1.2009056826841917,1.3176804917526814,1.0,10.0,0.03834792
uwb.matlab.ukf,0.05,0.5574090304702304,0.5327414945196595,0.540728582233871,0.7655420459731651,0.7947419501732618,1.0,10.0,0.21401505000000004
uwb.matlab.trilateration,0.1,0.13178167020375933,0.1146537407090537,0.11119466183299384,0.22654028235247162,0.3337261917722786,1.0,10.0,0.04229818
uwb.matlab.multilateration,0.1,0.13178167020375947,0.11465374070905372,0.11119466183299379,0.22654028235247112,0.33372619177228074,1.0,10.0,0.04669403999999999
uwb.matlab.taylor,0.1,0.2378932833020891,0.18615578239012923,0.1428368448668026,0.5224310210414818,0.6123827263335916,1.0,10.0,0.32523286000000007
uwb.matlab.ekf,0.1,0.6810213521397434,0.5980936200075933,0.540932562343913,1.194989872484837,1.290129693223956,1.0,10.0,0.03797808
uwb.matlab.ukf,0.1,0.5585943895262749,0.5361075116794445,0.545193790737225,0.7471526317346997,0.8109127199395448,1.0,10.0,0.22763285999999996
