frame_seq,sample_timestamp_ns,algorithm,valid,estimate_x_m,estimate_y_m,estimate_z_m,error_reason
0,2390338995438,uwb.matlab.trilateration,1,2.883476145165749,5.473268608279911,3.19868562207649,
1,2390438995439,uwb.matlab.trilateration,1,2.9676626465201092,5.49904295296523,2.975769136355796,
2,2390538995441,uwb.matlab.trilateration,1,3.1485434669122503,5.583535524022571,3.15638835268981,
3,2390638995442,uwb.matlab.trilateration,1,3.232339931699183,5.724570993553595,3.0707337969280997,
4,2390738995444,uwb.matlab.trilateration,1,3.422618470014279,5.720099756374966,3.335555963200288,
5,2390838995445,uwb.matlab.trilateration,1,3.5382163545045042,5.764159512733781,3.2528905700194564,
6,2390938995447,uwb.matlab.trilateration,1,3.68065778684786,5.818694314673822,3.0503189666118025,
7,2391038995448,uwb.matlab.trilateration,1,3.791701889111523,5.907371630157172,3.3124354451104914,
8,2391138995449,uwb.matlab.trilateration,1,3.971852513930683,5.897843900872088,3.01167031975603,
9,2391238995451,uwb.matlab.trilateration,1,4.124083287651801,5.990934230003807,3.027146832323658,
10,2391338995452,uwb.matlab.trilateration,1,4.2450258869525435,6.104891056624097,3.0548396516620486,
11,2391438995454,uwb.matlab.trilateration,1,4.355248004775351,6.11357915350479,3.1172416265017255,
12,2391538995455,uwb.matlab.trilateration,1,4.517341064782004,6.177455721072507,3.136071146468288,
13,2391638995457,uwb.matlab.trilateration,1,4.595579483849637,6.198134258885106,2.935333738628547,
14,2391738995458,uwb.matlab.trilateration,1,4.754197833792706,6.293128529377118,2.6614616090612313,
15,2391838995460,uwb.matlab.trilateration,1,4.869453689301861,6.259953891416565,2.791214316747664,
16,2391938995461,uwb.matlab.trilateration,1,5.0219676459103475,6.432372713727701,3.150967296574707,
17,2392038995463,uwb.matlab.trilateration,1,5.170156363910563,6.491527016372467,3.32936011609461,
18,2392138995464,uwb.matlab.trilateration,1,5.2653102226268595,6.448832719148082,2.799230797402199,
19,2392238995466,uwb.matlab.trilateration,1,5.3892261709509555,6.5215388104011405,3.09618277804347,
20,2392338995467,uwb.matlab.trilateration,1,5.560081314370777,6.591856510184758,3.298795579960301,
21,2392438995469,uwb.matlab.trilateration,1,5.636922708799029,6.610176587842827,2.803286409119333,
22,2392538995470,uwb.matlab.trilateration,1,5.790817865969163,6.696090558528512,3.1966516076375275,
23,2392638995472,uwb.matlab.trilateration,1,5.901406405232725,6.763082055970112,3.1310403575517975,
24,2392738995473,uwb.matlab.trilateration,1,6.011860185174047,6.728799624043661,3.161095126097883,
25,2392838995475,uwb.matlab.trilateration,1,6.154644454560942,6.824749798760672,2.7565845027231037,
26,2392938995476,uwb.matlab.trilateration,1,6.276098664804006,6.853179735523418,2.9641318669203556,
27,2393038995478,uwb.matlab.trilateration,1,6.465480043558926,6.891274594653135,3.491458833047598,
28,2393138995479,uwb.matlab.trilateration,1,6.5364599004578,6.921868688808518,3.281570256319674,
29,2393238995481,uwb.matlab.trilateration,1,6.643665558532314,7.001125750259044,3.298356195359647,
30,2393338995482,uwb.matlab.trilateration,1,6.771401695768802,6.988873845298863,2.74058373033107,
31,2393438995484,uwb.matlab.trilateration,1,6.873914029150806,7.140352789650856,3.4908338006321973,
32,2393538995485,uwb.matlab.trilateration,1,6.989137643258632,7.135280636791135,3.3029288644097505,
33,2393638995487,uwb.matlab.trilateration,1,7.139748953271535,7.235443435186387,3.3324503025014223,
34,2393738995488,uwb.matlab.trilateration,1,7.275949973028863,7.163903921428424,2.7837663513076225,
35,2393838995490,uwb.matlab.trilateration,1,7.406409152597855,7.273729455967222,3.1763566651788846,
36,2393938995491,uwb.matlab.trilateration,1,7.459690569507956,7.285363693579264,3.022771917442074,
37,2394038995493,uwb.matlab.trilateration,1,7.587903298942978,7.414997868781485,3.4552721866376173,
38,2394138995494,uwb.matlab.trilateration,1,7.6951254041088575,7.288298779035974,2.6275434239892235,
39,2394238995496,uwb.matlab.trilateration,1,7.770756778677418,7.492851064169616,3.179978481821157,
40,2394338995497,uwb.matlab.trilateration,1,7.869153219691512,7.428817217571844,3.289874374881736,
41,2394438995499,uwb.matlab.trilateration,1,8.057864425489239,7.503411584866462,3.411098003689363,
42,2394538995500,uwb.matlab.trilateration,1,8.137011274435267,7.542776158536623,3.016469205083934,
43,2394638995502,uwb.matlab.trilateration,1,8.25423879288554,7.558705542063895,3.1218144346832344,
44,2394738995503,uwb.matlab.trilateration,1,8.380421472432557,7.67887656395403,3.376692852603347,
45,2394838995505,uwb.matlab.trilateration,1,8.493864899033932,7.691549398733449,3.1804511324004805,
46,2394938995506,uwb.matlab.trilateration,1,8.49978243093859,7.782450655374275,3.220644182040899,
47,2395038995508,uwb.matlab.trilateration,1,8.56249562572352,7.725046207614765,2.781733703952069,
48,2395138995509,uwb.matlab.trilateration,1,8.695034853445291,7.8308116501339535,2.9619626404007793,
49,2395238995511,uwb.matlab.trilateration,1,8.859199200769034,7.832234897514971,3.348207113478206,
50,2395338995512,uwb.matlab.trilateration,1,8.932517566639204,7.875657694971769,2.936830215012028,
51,2395438995514,uwb.matlab.trilateration,1,8.959276549999746,7.856069551454938,2.899379599779193,
52,2395538995515,uwb.matlab.trilateration,1,9.07529413600242,7.911160504672589,3.2666155779161627,
53,2395638995517,uwb.matlab.trilateration,1,9.250025494112002,7.921893530952733,3.0483789234524012,
54,2395738995518,uwb.matlab.trilateration,1,9.28730209917897,8.053796139665971,3.181354284313899,
55,2395838995520,uwb.matlab.trilateration,1,9.366350224276276,8.045329189349538,3.249482986999976,
56,2395938995521,uwb.matlab.trilateration,1,9.510710296653437,7.993309436826642,2.961594650745749,
57,2396038995523,uwb.matlab.trilateration,1,9.555046116302364,8.076865788286222,3.04411226436962,
58,2396138995524,uwb.matlab.trilateration,1,9.640410775443739,8.175675005381414,3.1254140798370877,
59,2396238995525,uwb.matlab.trilateration,1,9.687776995287049,8.093913686835227,2.778609618568912,
60,2396338995527,uwb.matlab.trilateration,1,9.787896477127031,8.197391764668195,3.1408414212118636,
61,2396438995528,uwb.matlab.trilateration,1,10.036704450067566,8.210503235988146,3.409426168623694,
62,2396538995530,uwb.matlab.trilateration,1,10.100564135866428,8.302788346962945,3.8198993891165256,
63,2396638995531,uwb.matlab.trilateration,1,10.153297218971254,8.28355034964333,3.4943862481775514,
64,2396738995533,uwb.matlab.trilateration,1,10.139117382681597,8.337598981517019,3.4992702260679867,
65,2396838995534,uwb.matlab.trilateration,1,10.210406658491227,8.320755714748366,3.233310763537552,
66,2396938995536,uwb.matlab.trilateration,1,10.301710515518728,8.376286239331474,3.061784670090224,
67,2397038995537,uwb.matlab.trilateration,1,10.3851286188559,8.373417563709806,3.0789169408401182,
68,2397138995539,uwb.matlab.trilateration,1,10.405279893395223,8.422934637428845,2.8537511314402533,
69,2397238995540,uwb.matlab.trilateration,1,10.512776282793483,8.361644134539949,3.1408103475050346,
70,2397338995542,uwb.matlab.trilateration,1,10.632016014357404,8.412000906874285,3.4357551798349313,
