frame_seq,sample_timestamp_ns,tag_id,anchor_id,anchor_x_m,anchor_y_m,anchor_z_m,range_m,stddev_m
0,2390338995438,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,25.157558429151003,0.05
0,2390338995438,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.314424515561985,0.05
0,2390338995438,carla_uav_uwb_tag,A3,15.0,12.0,0.5,14.041982915840828,0.05
0,2390338995438,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,19.09440671877759,0.05
1,2390438995439,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,25.18380662223738,0.05
1,2390438995439,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.268714209001782,0.05
1,2390438995439,carla_uav_uwb_tag,A3,15.0,12.0,0.5,13.863992767334723,0.05
1,2390438995439,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,19.143246881160724,0.05
2,2390538995441,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,25.419121151628413,0.05
2,2390538995441,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.259539159749195,0.05
2,2390538995441,carla_uav_uwb_tag,A3,15.0,12.0,0.5,13.755341033698306,0.05
2,2390538995441,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,19.30986556521202,0.05
3,2390638995442,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,25.561406771197923,0.05
3,2390638995442,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.327898392604634,0.05
3,2390638995442,carla_uav_uwb_tag,A3,15.0,12.0,0.5,13.589176300648958,0.05
3,2390638995442,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,19.340119908021396,0.05
4,2390738995444,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,25.714245847578663,0.05
4,2390738995444,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.193887883143514,0.05
4,2390738995444,carla_uav_uwb_tag,A3,15.0,12.0,0.5,13.4647890069938,0.05
4,2390738995444,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,19.492901361729498,0.05
5,2390838995445,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,25.82378668642363,0.05
5,2390838995445,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.179042778073903,0.05
5,2390838995445,carla_uav_uwb_tag,A3,15.0,12.0,0.5,13.337740473724114,0.05
5,2390838995445,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,19.600132082578757,0.05
6,2390938995447,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,25.948309392712307,0.05
6,2390938995447,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.16772877273695,0.05
6,2390938995447,carla_uav_uwb_tag,A3,15.0,12.0,0.5,13.15970995214965,0.05
6,2390938995447,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,19.738664633218825,0.05
7,2391038995448,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,26.126553872226555,0.05
7,2391038995448,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.180066579942117,0.05
7,2391038995448,carla_uav_uwb_tag,A3,15.0,12.0,0.5,13.097361018316649,0.05
7,2391038995448,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,19.812710451372574,0.05
8,2391138995449,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,26.215957792525426,0.05
8,2391138995449,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,21.091987331344228,0.05
8,2391138995449,carla_uav_uwb_tag,A3,15.0,12.0,0.5,12.879005586681496,0.05
8,2391138995449,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,20.00216421239377,0.05
