method,target_id,frame,truth_x_m,truth_y_m,truth_z_m,estimate_x_m,estimate_y_m,error_xy_m,visible
baseline,J01-NW-HIGH,1,0.0788,0.9669787234042552,0.22,0.05588784133113221,0.8948658429551681,0.07566527963030133,1
baseline,J01-NW-HIGH,2,0.0788,0.9669787234042552,0.22,-0.10899264556260112,0.8219086553742243,0.23730023675849654,1
baseline,J01-NW-HIGH,3,0.0788,0.9669787234042552,0.22,-0.03126282644929062,0.8218076349325841,0.18217703119234435,1
baseline,J01-NW-HIGH,4,0.0788,0.9669787234042552,0.22,-0.10005289743057338,0.8709712439090904,0.20299210585223673,1
baseline,J01-NW-HIGH,5,0.0788,0.9669787234042552,0.22,-0.04979237220571932,0.8493880520878142,0.17425143950666663,1
baseline,J01-NW-HIGH,6,0.0788,0.9669787234042552,0.22,-0.033101620569843684,0.8426925459481477,0.1672394289418865,1
baseline,J01-NW-HIGH,7,0.0788,0.9669787234042552,0.22,0.05106488072188278,0.772420180006355,0.19652547837490175,1
baseline,J01-NW-HIGH,8,0.0788,0.9669787234042552,0.22,-0.1057408105073255,0.8466388608821186,0.2203111283039224,1
baseline,J01-NW-HIGH,9,0.0788,0.9669787234042552,0.22,-0.009642393398584692,0.8433133148803437,0.15203680546320333,1
baseline,J01-NW-HIGH,10,0.0788,0.9669787234042552,0.22,-0.07789664387467626,0.8411407632925055,0.20097022268652986,1
baseline,J01-NW-HIGH,11,0.0788,0.9669787234042552,0.22,-0.018700956558671433,0.8700400521406277,0.1374901542519084,1
baseline,J01-NW-HIGH,12,0.0788,0.9669787234042552,0.22,-0.025308315275352874,0.8691747767823926,0.14284310723407137,1
baseline,J01-NW-HIGH,13,0.0788,0.9669787234042552,0.22,-0.03521088565694071,0.8459914997944521,0.16624196318946818,1
baseline,J01-NW-HIGH,14,0.0788,0.9669787234042552,0.22,-0.015821963348750634,0.7784679214558458,0.21092567031825393,1
